JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Medical Lab Assistant,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"The Laboratory Assistant performs a variety of duties within the Laboratory such as taking blood samples from patients, preparing blood and other specimens for…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=36301a840d999b70&fccid=819aaf068231c6d3&vjs=3
Recreation Level 2,Summerland Seniors Village,"Summerland, BC",Posted18 days ago,2022-08-06,"Assists in the development of recreation and leisure services including program research development, implementation and evaluation as required.",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=26c3c959ddf5fd9a&fccid=bfd33c1c9e058c81&vjs=3
"Team Leader, Mental Health & Substance Use | Adult Short Term Assessment And Treatment (Astat)",INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Current valid BC driver’s license.
A Master’s Degree (from an accredited educational institution) in a social or behavioral science field relevant to the…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=ab6930b8d3f2d7f4&fccid=819aaf068231c6d3&vjs=3
Health Care Support Worker,The Good Samaritan Society,"Penticton, BC",Posted22 days ago,2022-08-06,"Under the direction of a Registered Nurse or another regulated healthcare professional, a HCSW performs a variety of non-direct and/or non-clinical healthcare…",$21.37 an hour,Healthcare,ca.indeed.com/rc/clk?jk=a35dcbc1640bb143&fccid=22219478997493c0&vjs=3
Server,Sienna Senior Living,"Penticton, BC",Posted22 days ago,2022-08-06,"In accordance with provincial regulations, upon request, support will be provided for accommodations throughout the recruitment, selection, and assessment…",$15.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=8baeb1ad077019f7&fccid=7b61a73576f746ae&vjs=3
Server,Sienna Senior Living,"Penticton, BC",Posted22 days ago,2022-08-06,"In accordance with provincial regulations, upon request, support will be provided for accommodations throughout the recruitment, selection, and assessment…",$15.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=8baeb1ad077019f7&fccid=7b61a73576f746ae&vjs=3
Community Health Worker,INTERIOR HEALTH AUTHORITY,"Penticton, BC+1 location",Posted30 days ago,2022-08-06,"Current valid BC Drivers’ License and use of a reliable vehicle (for CHW only).
Community Health Workers provide home support services to clients, by assisting…",Part-time,Healthcare,ca.indeed.com/rc/clk?jk=99d9751191d0dafd&fccid=819aaf068231c6d3&vjs=3
Mental Health And Substance Use (Mhsu) Substance Use Clinician,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Current valid B.C. driver’s license.
The MHSU Substance Use Clinician provides, at the advanced practice level, assessment, treatment, service coordination and,…",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=36c59182aa7ac1d6&fccid=819aaf068231c6d3&vjs=3
ANESTHESIOLOGIST,Interior Health,"Penticton, BC",Posted30+ days ago,2022-08-06,"There is a monthly CME program and quarterly Grand Rounds (supported by the Medical Staff Association).
We assist with airway needs in the ICU and Emergency…","$380,000–$420,000 a year",Healthcare,ca.indeed.com/rc/clk?jk=565e9fd20109b153&fccid=819aaf068231c6d3&vjs=3
Pharmacy Technician,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Grade 12 and graduation from an accredited Pharmacy Technician program or an equivalent combination of education, training and experience.",Part-time +1,Healthcare,ca.indeed.com/rc/clk?jk=f774d458aea0180b&fccid=819aaf068231c6d3&vjs=3
